Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
2560783441,"Jul 24, 2019, 10:34:55 PM",Evening Ride,Ride,,8094,32.37,,,false,,,activities/2560783441.gpx,0.0,,8094.0,7191.0,32373.400390625,10.600000381469727,,149.2535400390625,,56.900001525878906,88.0,36.400001525878906,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2567100013,"Jul 27, 2019, 11:37:54 AM",Morning Ride,Ride,,4922,20.93,,,false,,,activities/2567100013.gpx,0.0,,4922.0,4654.0,20937.69921875,7.900000095367432,,52.7282600402832,,39.20000076293945,57.599998474121094,11.199999809265137,0.00047760739107616246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2573042724,"Jul 29, 2019, 11:02:14 AM",Morning Ride,Ride,,18166,31.15,,,false,,,activities/2573042724.gpx,0.0,,18166.0,8270.0,31154.900390625,9.800000190734863,,140.02618408203125,,19.899999618530273,46.0,12.800000190734863,-0.0019258607644587755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2575259431,"Jul 30, 2019, 11:22:48 AM",Morning Ride,Ride,,331,1.38,,,false,,,activities/2575259431.gpx,0.0,,331.0,331.0,1379.0999755859375,8.699999809265137,,15.186666488647461,,35.0,46.0,5.599999904632568,0.13777101039886475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2575466546,"Jul 30, 2019, 12:46:04 PM",Morning Ride,Ride,,275,1.10,,,false,,,activities/2575466546.gpx,0.0,,275.0,275.0,1100.699951171875,6.099999904632568,,13.04735279083252,,35.0,46.0,7.900000095367432,0.25438356399536133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2578207195,"Jul 31, 2019, 11:40:29 AM",Morning Ride,Ride,,417,1.34,,,false,,,activities/2578207195.gpx,0.0,,417.0,335.0,1343.800048828125,9.899999618530273,,14.646649360656738,,35.099998474121094,46.0,7.300000190734863,0.06697425246238708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2578401632,"Jul 31, 2019, 12:23:18 PM",Morning Ride,Ride,,2502,10.62,,,false,,,activities/2578401632.gpx,0.0,,2502.0,2440.0,10620.400390625,10.5,,96.8878402709961,,30.700000762939453,51.5,9.199999809265137,-0.012240593321621418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2581794731,"Aug 1, 2019, 2:27:54 PM",Morning Ride,Ride,,8269,25.78,,,false,,,activities/2581794731.gpx,0.0,,8269.0,5920.0,25786.80078125,11.5,,207.66831970214844,,26.0,78.5,8.699999809265137,0.0007755905971862376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2584125987,"Aug 2, 2019, 12:10:41 PM",Morning Ride,Ride,,5817,16.09,,,false,,,activities/2584125987.gpx,0.0,,5817.0,3523.0,16090.900390625,11.0,,91.68142700195312,,26.0,51.5,8.300000190734863,-0.032937873154878616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2584250613,"Aug 2, 2019, 2:24:49 PM",Morning Ride,Ride,,1060,3.17,,,false,,,activities/2584250613.gpx,0.0,,1060.0,886.0,3174.60009765625,7.099999904632568,,27.91918182373047,,30.600000381469727,46.0,49.599998474121094,0.08190008252859116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
